rgn_name,rgn_id,rgn_code,year,species,harvest_kgs,stock_id,assessed,rgn_catch,catch_prop
West Vancouver Island,5,WV,2015,arrowtooth_flounder,5330347.78,NA,0,33452129.480067726,0.1593425549538202
Strait of Georgia,6,SG,2015,arrowtooth_flounder,35.14,NA,0,16912592.048037514,2.077741832842089e-6
North Coast,1,NC,2015,arrowtooth_flounder,581635.78,NA,0,6183163.396933077,0.09406767097380903
Haida Gwaii,2,HG,2015,arrowtooth_flounder,4155514.66,NA,0,13542664.750681318,0.30684615889874556
Central Coast,3,CC,2015,arrowtooth_flounder,325361.13,NA,0,4916529.47,0.06617699171444202
North Vancouver Island,4,NV,2015,arrowtooth_flounder,83759.22,NA,0,5674150.295034657,0.014761544133453097
Aristazabal Island,8,AZ,2015,arrowtooth_flounder,675.23,NA,0,130331.65999999999,0.005180859355278679
West Vancouver Island,5,WV,2014,arrowtooth_flounder,8685772.6,NA,0,22716529.430170547,0.38235473542292725
Strait of Georgia,6,SG,2014,arrowtooth_flounder,13.31,NA,0,15505560.66062311,8.584017238280967e-7
North Coast,1,NC,2014,arrowtooth_flounder,298468.85,NA,0,8738613.755689513,0.03415517132859588
Haida Gwaii,2,HG,2014,arrowtooth_flounder,2937390.34,NA,0,9029312.29,0.32531717207889377
Central Coast,3,CC,2014,arrowtooth_flounder,40406.19,NA,0,4845805.251217306,0.008338385037213297
North Vancouver Island,4,NV,2014,arrowtooth_flounder,4227.06,NA,0,5643027.871330182,7.490765766860535e-4
Aristazabal Island,8,AZ,2014,arrowtooth_flounder,0,NA,0,1330071.9520534652,0
West Vancouver Island,5,WV,2013,arrowtooth_flounder,6885810.14,NA,0,17867546.998836838,0.3853808326598083
Strait of Georgia,6,SG,2013,arrowtooth_flounder,41.32,NA,0,14092531.850460354,2.932049431461829e-6
North Coast,1,NC,2013,arrowtooth_flounder,310464.54,NA,0,4330308.408733,0.07169571095072151
Haida Gwaii,2,HG,2013,arrowtooth_flounder,893639.68,NA,0,6216991.811604084,0.14374149220077975
Central Coast,3,CC,2013,arrowtooth_flounder,154916.8,NA,0,9412649.495147534,0.01645836276808816
North Vancouver Island,4,NV,2013,arrowtooth_flounder,13191.68,NA,0,5227998.770110408,0.002523275268429608
Aristazabal Island,8,AZ,2013,arrowtooth_flounder,1353.03,NA,0,679871.7443152436,0.0019901253601335516
Pacific Offshore,7,PO,2013,arrowtooth_flounder,0,NA,0,30041.54,0
West Vancouver Island,5,WV,2012,arrowtooth_flounder,4336806.55,NA,0,16261364.429980952,0.2666938908277748
Strait of Georgia,6,SG,2012,arrowtooth_flounder,29.78,NA,0,11305432.708615396,2.6341318167597345e-6
North Coast,1,NC,2012,arrowtooth_flounder,61561.59,NA,0,3888577.477974049,0.01583139087460683
Haida Gwaii,2,HG,2012,arrowtooth_flounder,501377.66,NA,0,10845063.119959434,0.04623095822072775
Central Coast,3,CC,2012,arrowtooth_flounder,216982.21,NA,0,5370408.079975308,0.040403300227605354
North Vancouver Island,4,NV,2012,arrowtooth_flounder,14270.2,NA,0,5604487.737356744,0.0025462095143650517
Pacific Offshore,7,PO,2012,arrowtooth_flounder,0,NA,0,12253.869999999999,0
West Vancouver Island,5,WV,2011,arrowtooth_flounder,2544172.4,NA,0,16201545.27479303,0.15703270008190628
North Coast,1,NC,2011,arrowtooth_flounder,1115948.06,NA,0,8595484.047202013,0.12982957723751015
Haida Gwaii,2,HG,2011,arrowtooth_flounder,1152313.83,NA,0,7319205.81,0.15743700340078293
Central Coast,3,CC,2011,arrowtooth_flounder,131842.59,NA,0,5212590.872784705,0.025293101495526767
North Vancouver Island,4,NV,2011,arrowtooth_flounder,4928.56,NA,0,6655342.677632233,7.405418832247765e-4
West Vancouver Island,5,WV,2010,arrowtooth_flounder,179187.08,NA,0,11130145.004029172,0.016099258359629037
Strait of Georgia,6,SG,2010,arrowtooth_flounder,19.98,NA,0,7867123.9394489,2.539682882052017e-6
North Coast,1,NC,2010,arrowtooth_flounder,98623.92,NA,0,3841450.283543457,0.025673616139846707
Haida Gwaii,2,HG,2010,arrowtooth_flounder,102878.96,NA,0,9241521.132846788,0.011132253935376637
Central Coast,3,CC,2010,arrowtooth_flounder,103982.25,NA,0,9532951.747544048,0.010907665616453864
North Vancouver Island,4,NV,2010,arrowtooth_flounder,9452.21,NA,0,6063301.455335896,0.0015589213351220985
Pacific Offshore,7,PO,2010,arrowtooth_flounder,0,NA,0,29268.309999999998,0
West Vancouver Island,5,WV,2009,arrowtooth_flounder,968962.8,NA,0,14834480.446425686,0.06531828354214239
Strait of Georgia,6,SG,2009,arrowtooth_flounder,311.93,NA,0,18541696.928107597,1.6823163554525654e-5
North Coast,1,NC,2009,arrowtooth_flounder,149790.01,NA,0,5081576.212980492,0.02947707634835291
Haida Gwaii,2,HG,2009,arrowtooth_flounder,236428.75,NA,0,14117849.720231751,0.01674679605500992
Central Coast,3,CC,2009,arrowtooth_flounder,204910.42,NA,0,5085115.877180197,0.04029611614546474
North Vancouver Island,4,NV,2009,arrowtooth_flounder,100503.93,NA,0,6861057.560052206,0.014648460404293016
Aristazabal Island,8,AZ,2009,arrowtooth_flounder,0,NA,0,454057.20029877074,0
Pacific Offshore,7,PO,2009,arrowtooth_flounder,0,NA,0,9615.72,0
West Vancouver Island,5,WV,2008,arrowtooth_flounder,2665371.67,NA,0,15511990.370206352,0.17182654233201042
Strait of Georgia,6,SG,2008,arrowtooth_flounder,58.05,NA,0,12167682.550480561,4.770834524911838e-6
North Coast,1,NC,2008,arrowtooth_flounder,256722.32,NA,0,9152255.537298894,0.028050169595217236
Haida Gwaii,2,HG,2008,arrowtooth_flounder,264179.27,NA,0,11240284.73,0.023502898400332605
Central Coast,3,CC,2008,arrowtooth_flounder,166593.89,NA,0,4152124.140710771,0.04012256964250641
North Vancouver Island,4,NV,2008,arrowtooth_flounder,50803.18,NA,0,4422887.674816839,0.01148642781259505
West Vancouver Island,5,WV,2007,arrowtooth_flounder,371983.86,NA,0,10667102.251645884,0.034872062836240704
Strait of Georgia,6,SG,2007,arrowtooth_flounder,40.67,NA,0,13399208.115038458,3.035253997910105e-6
North Coast,1,NC,2007,arrowtooth_flounder,346108.12,NA,0,4634037.613483222,0.07468824141456294
Haida Gwaii,2,HG,2007,arrowtooth_flounder,249547.53,NA,0,11755290.6,0.021228529220706803
